date;value;daily_value
2016-03-17;1.91;0.007277143560679988
2016-03-16;1.94;0.007390357274905668
2016-03-15;1.97;0.00750353780440971
2016-03-14;1.97;0.00750353780440971
2016-03-11;1.98;0.007541257276555413
2016-03-10;1.93;0.007352623058332064
2016-03-09;1.9;0.007239398278180431
2016-03-08;1.83;0.006975077937809715
2016-03-07;1.91;0.007277143560679988
2016-03-04;1.88;0.007163896642192746
2016-03-03;1.83;0.006975077937809715
2016-03-02;1.84;0.007012849066101445
2016-03-01;1.83;0.006975077937809715
2016-02-29;1.74;0.006634971414687385
2016-02-26;1.76;0.006710576535162716
2016-02-25;1.71;0.006521535969605807
2016-02-24;1.75;0.006672775825400379
2016-02-23;1.74;0.006634971414687385
2016-02-22;1.77;0.006748373544684938
2016-02-19;1.76;0.006710576535162716
2016-02-18;1.75;0.006672775825400379
2016-02-17;1.81;0.006899524595094242
2016-02-16;1.78;0.006786166854721998
2016-02-12;1.74;0.006634971414687385
2016-02-11;1.63;0.00621887842637836
2016-02-10;1.71;0.006521535969605807
2016-02-09;1.74;0.006634971414687385
2016-02-08;1.75;0.006672775825400379
2016-02-05;1.86;0.007088380240105607
2016-02-04;1.87;0.007126140287261329
2016-02-03;1.88;0.007163896642192746
2016-02-02;1.87;0.007126140287261329
2016-02-01;1.97;0.00750353780440971
2016-01-29;1.94;0.007390357274905668
2016-01-28;2.0;0.007616685168643222
2016-01-27;2.02;0.00769209832929274
2016-01-26;2.01;0.007654393590050823
2016-01-25;2.03;0.007729799387101721
2016-01-22;2.07;0.007880566818552204
2016-01-21;2.02;0.00769209832929274
2016-01-20;2.01;0.007654393590050823
2016-01-19;2.06;0.007842880479236314
2016-01-15;2.03;0.007729799387101721
2016-01-14;2.1;0.00799360377246039
2016-01-13;2.08;0.007918249480054484
2016-01-12;2.12;0.008068943362182779
2016-01-11;2.17;0.008257228050023713
2016-01-08;2.13;0.008106607645341768
2016-01-07;2.16;0.008219578456603038
2016-01-06;2.18;0.008294873972780614
2016-01-05;2.25;0.008558292714377913
2016-01-04;2.24;0.008520672466039159
2015-12-31;2.27;0.008633522217005307
2015-12-30;2.31;0.008783937266243491
2015-12-29;2.32;0.008821531875202737
2015-12-28;2.24;0.008520672466039159
2015-12-24;2.25;0.008558292714377913
2015-12-23;2.27;0.008633522217005307
2015-12-22;2.24;0.008520672466039159
2015-12-21;2.2;0.008370154809256292
2015-12-18;2.19;0.008332516225628694
